regions_yandex,season,time_mean,mean_time_short,year
республика марий эл,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика марий эл,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика мордовия,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика мордовия,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика мордовия,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика мордовия,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика саха (якутия),autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика саха (якутия),spring,2023-05-20 14:13:41.046236416,14:13,2024
республика саха (якутия),summer,2023-05-20 16:30:05.578494720,16:30,2024
республика саха (якутия),winter,2023-05-20 07:45:09.523173632,07:45,2024
республика северная осетия — алания,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика северная осетия — алания,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика северная осетия — алания,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика северная осетия — алания,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика татарстан,autumn,2023-05-20 10:31:26.926881792,10:31,2024
республика татарстан,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика татарстан,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика татарстан,winter,2023-05-20 08:14:24.340378368,08:14,2024
республика тыва,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика тыва,spring,2023-05-20 14:13:41.046236416,14:13,2024
республика тыва,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика тыва,winter,2023-05-20 08:43:43.361883392,08:43,2024
республика хакасия,autumn,2023-05-20 10:31:31.371326208,10:31,2024
республика хакасия,spring,2023-05-20 14:13:37.960214784,14:13,2024
республика хакасия,summer,2023-05-20 16:30:05.578494720,16:30,2024
республика хакасия,winter,2023-05-20 08:14:24.340378368,08:14,2024
ростовская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ростовская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
ростовская область,summer,2023-05-20 15:41:41.616846080,15:41,2024
ростовская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
рязанская область,autumn,2023-05-20 10:30:57.993548544,10:30,2024
рязанская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
рязанская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
рязанская область,winter,2023-05-20 08:19:00.093066240,08:19,2024
самарская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
самарская область,spring,2023-05-20 14:09:30.201792256,14:09,2024
самарская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
самарская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
санкт петербург,autumn,2023-05-20 10:16:44.071326464,10:16,2024
санкт петербург,spring,2023-05-20 14:13:41.046236416,14:13,2024
санкт петербург,summer,2023-05-20 16:30:05.578494720,16:30,2024
санкт петербург,winter,2023-05-20 08:05:36.489803520,08:05,2024
саратовская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
саратовская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
саратовская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
саратовская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
сахалинская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
сахалинская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
сахалинская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
сахалинская область,winter,2023-05-20 08:43:22.200593152,08:43,2024
свердловская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
свердловская область,spring,2023-05-20 14:13:29.250537472,14:13,2024
свердловская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
свердловская область,winter,2023-05-20 08:10:14.759732992,08:10,2024
севастополь,autumn,2023-05-20 10:31:31.371326208,10:31,2024
севастополь,spring,2023-05-20 14:13:41.046236416,14:13,2024
севастополь,summer,2023-05-20 16:10:07.406451456,16:10,2024
севастополь,winter,2023-05-20 08:30:31.581757440,08:30,2024
смоленская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
смоленская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
смоленская область,summer,2023-05-20 16:27:51.202150400,16:27,2024
смоленская область,winter,2023-05-20 08:21:46.544679680,08:21,2024
ставропольский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ставропольский край,spring,2023-05-20 13:59:16.590681088,13:59,2024
ставропольский край,summer,2023-05-20 16:10:46.610752512,16:10,2024
ставропольский край,winter,2023-05-20 08:14:24.340378368,08:14,2024
тамбовская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
тамбовская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
тамбовская область,summer,2023-05-20 16:18:30.116128768,16:18,2024
тамбовская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
тверская область,autumn,2023-05-20 10:28:01.126882048,10:28,2024
тверская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
тверская область,summer,2023-05-20 16:32:46.600000256,16:32,2024
тверская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
томская область,autumn,2023-05-20 10:30:46.500358400,10:30,2024
томская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
томская область,summer,2023-05-20 16:33:54.245161216,16:33,2024
томская область,winter,2023-05-20 08:11:11.039302912,08:11,2024
тульская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
тульская область,spring,2023-05-20 14:11:05.790681088,14:11,2024
тульская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
тульская область,winter,2023-05-20 08:17:10.995550208,08:17,2024
тюменская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
тюменская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
тюменская область,summer,2023-05-20 16:36:27.513978624,16:36,2024
тюменская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
удмуртская республика,autumn,2023-05-20 10:28:06.393548544,10:28,2024
удмуртская республика,spring,2023-05-20 14:13:41.046236416,14:13,2024
удмуртская республика,summer,2023-05-20 16:30:05.578494720,16:30,2024
удмуртская республика,winter,2023-05-20 08:14:24.340378368,08:14,2024
ульяновская область,autumn,2023-05-20 10:33:16.693906688,10:33,2024
ульяновская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
ульяновская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
ульяновская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
хабаровский край,autumn,2023-05-20 10:31:31.371326208,10:31,2024
хабаровский край,spring,2023-05-20 14:13:41.046236416,14:13,2024
хабаровский край,summer,2023-05-20 16:30:05.578494720,16:30,2024
хабаровский край,winter,2023-05-20 08:25:27.282906880,08:25,2024
ханты мансийский автономный округ югра,autumn,2023-05-20 10:24:02.521863936,10:24,2024
ханты мансийский автономный округ югра,spring,2023-05-20 14:13:41.046236416,14:13,2024
ханты мансийский автономный округ югра,summer,2023-05-20 17:04:10.222939136,17:04,2024
ханты мансийский автономный округ югра,winter,2023-05-20 08:02:45.685205760,08:02,2024
челябинская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
челябинская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
челябинская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
челябинская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
чеченская республика,autumn,2023-05-20 10:31:31.371326208,10:31,2024
чеченская республика,spring,2023-05-20 14:13:41.046236416,14:13,2024
чеченская республика,summer,2023-05-20 15:52:45.922580480,15:52,2024
чеченская республика,winter,2023-05-20 08:14:24.340378368,08:14,2024
чувашская республика,autumn,2023-05-20 10:31:31.371326208,10:31,2024
чувашская республика,spring,2023-05-20 14:13:41.046236416,14:13,2024
чувашская республика,summer,2023-05-20 16:30:05.578494720,16:30,2024
чувашская республика,winter,2023-05-20 08:14:24.340378368,08:14,2024
чукотский автономный округ,autumn,2023-05-20 10:31:31.371326208,10:31,2024
чукотский автономный округ,spring,2023-05-20 14:34:02.501792512,14:34,2024
чукотский автономный округ,summer,2023-05-20 16:30:05.578494720,16:30,2024
чукотский автономный округ,winter,2023-05-20 08:14:24.340378368,08:14,2024
ямало-ненецкий автономный округ,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ямало-ненецкий автономный округ,spring,2023-05-20 15:51:26.667383552,15:51,2024
ямало-ненецкий автономный округ,summer,2023-05-20 16:30:05.578494720,16:30,2024
ямало-ненецкий автономный округ,winter,2023-05-20 08:14:24.340378368,08:14,2024
ярославская область,autumn,2023-05-20 10:31:31.371326208,10:31,2024
ярославская область,spring,2023-05-20 14:13:41.046236416,14:13,2024
ярославская область,summer,2023-05-20 16:30:05.578494720,16:30,2024
ярославская область,winter,2023-05-20 08:14:24.340378368,08:14,2024
